Network,Station,Latitude,Longitude,Elevation_m,Site
AK,P17K,59.1953,-156.4394,91.0,"Kvichak River, AK, USA"
AK,P23K,59.9979,-147.4031,287.0,"Montague Island, AK, USA"
AK,PAL,56.2499,-134.6479,3.0,"Port Alexander, AK, USA"
AK,PAX,62.9699,-145.4699,1150.0,"Paxson, AK, USA"
AK,PIN,60.0959,-140.2525,975.0,"Pinnacle, AK, USA"
AK,PNL,59.667,-139.4014,586.0,"Peninsula, AK, USA"
AK,POKR,65.1171,-147.4335,501.0,"Poker Flat Research Range, AK, USA"
AK,PPD,65.5174,-145.5246,1505.0,"Porcupine Dome, AK, USA"
AK,PPLA,62.8962,-152.1894,1519.0,"Purkeypile, AK, USA"
AK,PRG,60.8626,-149.0222,29.9,"Portage, AK, USA"
AK,PS01,70.258,-148.6141,9.0,"TAPS Pump Station 1, AK, USA"
AK,PS04,68.4215,-149.3568,849.0,"TAPS Pump Station 4, AK, USA"
AK,PS05,66.8133,-150.6646,327.0,"TAPS Pump Station 5, AK, USA"
AK,PS06,65.8545,-149.7369,280.0,"TAPS Pump Station 6, AK, USA"
AK,PS07,65.3106,-148.2791,289.0,"TAPS Pump Station 7, AK, USA"
AK,PS08,64.5422,-146.8221,320.0,"TAPS Pump Station 8, AK, USA"
AK,PS09,63.9299,-145.7682,468.0,"TAPS Pump Station 9, AK, USA"
AK,PS10,63.4229,-145.7684,738.0,"TAPS Pump Station 10, AK, USA"
AK,PS11,62.0789,-145.4751,375.0,"TAPS Pump Station 11, AK, USA"
AK,PS12,61.4749,-145.1458,562.7,"TAPS Pump Station 12, AK, USA"
AK,PTPK,61.1871,-142.4672,1892.6,"Patty Peak Repeater, AK, USA"
AK,PWL,60.8584,-148.3334,550.0,"Port Wells, AK, USA"
AK,Q19K,58.9287,-153.6446,631.0,"Cape Douglas, AK, USA"
AK,Q23K,59.4296,-146.3399,46.0,"Middleton Island, AK, USA"
AK,R109,63.3953,-148.6468,808.0,"West end of Denali Hwy, AK, USA"
AK,R16K,57.5673,-157.5742,38.0,"Pilot Point, AK, USA"
AK,R18K,57.5665,-154.4524,39.0,"Karluk, AK, USA"
AK,R32K,58.2747,-134.5181,386.0,"Eaglecrest, AK, USA"
AK,RAG,60.3863,-144.6773,752.0,"Ragged Mountain, AK, USA"
AK,RBR,63.3109,-145.6871,851.0,"Rainbow Ridge, AK, USA"
AK,RC01,61.0889,-149.739,390.0,"Rabbit Creek, AK, USA"
AK,RDOG,68.0541,-162.908,423.0,"Red Dog Mine, AK, USA"
AK,RICH,63.765,-145.7799,711.0,"Donnely Dome, AK, USA"
AK,RIDG,63.7399,-144.8462,871.0,"Independent Ridge, AK, USA"
AK,RKAV,60.2994,-141.3478,1647.0,"Rock Avalanche, AK, USA"
AK,RND,63.4056,-148.8602,993.6,"Reindeer, AK, USA"
AK,S15K,56.3058,-158.54,17.0,"Chignik Lagoon, AK, USA"
AK,S19K,57.2225,-153.2875,47.0,"Old Harbor, AK, USA"
AK,S31K,57.9616,-136.232,34.0,"Pelican, AK, USA"
AK,S32K,57.4688,-134.5763,26.0,"Killisnoo, AK, USA"
AK,SAMH,60.1294,-140.7828,1140.0,"Samovar Hills, AK, USA"
AK,SAW,61.807,-148.3316,781.0,"Sawmill, AK, USA"
AK,SCM,61.832,-147.329,1050.0,"Sheep Mountain, AK, USA"
AK,SCRK,63.9761,-143.9905,1375.0,"Sand Creek, AK, USA"
AK,SGA,60.5341,-145.2082,449.6,"Sherman Glacier, AK, USA"
AK,SII,56.5593,-154.1842,492.0,"Sitkinak Island Coast Guard, AK, USA"
AK,SKN,61.98,-151.5317,581.0,"Skwentna, AK, USA"
AK,SLK,60.5117,-150.2231,655.0,"Skilak Lake, AK, USA"
AK,SPIA,57.1766,-170.2478,71.0,"St Paul Island, AK, USA"
AK,SSN,61.4636,-150.7467,1306.0,"Susitna, AK, USA"
AK,SSP,60.1791,-142.8388,472.0,"Sunshine Point, AK, USA"
AK,STON,64.8612,-148.0212,382.0,"Ester, AK, USA"
AK,SUCK,60.072,-143.779,467.0,"Suckling Hills, AK, USA"
AK,SWD,60.1043,-149.4526,77.0,"Seward, AK, USA"
AK,TABL,60.4399,-141.1443,2050.0,"Table Mountain, AK, USA"
AK,TAPE,64.892845,-147.789047,320.0,"Goshawk Ln, Fairbanks, AK"
AK,TGL,60.7541,-142.8292,1266.4,"Tana Glacier, AK, USA"
AK,THY,63.4159,-145.7584,755.0,"Trims Highway, AK, USA"
AK,TNA,65.5598,-167.9267,74.0,"Tin City, AK, USA"
AK,TOK1,63.0226,-143.3452,676.0,"Tok Cabin 1 Tok cuttoff, AK, USA"
AK,TOK2,62.7143,-144.3038,767.0,"Tok cutoff 2, AK, USA"
AK,TOK3,62.5234,-144.8007,556.0,"MP 27 Tok cutoff, AK, USA"
AK,TOLK,68.6408,-149.5724,760.0,"Toolik Lake Research Station, AK, USA"
AK,TRAP,62.3346,-150.2461,142.3,"Trapper Creek, AK, USA"
AK,TRF,63.4502,-150.2893,1711.9,"Thorofare Mountain, AK, USA"
AK,TRF,63.4501,-150.2892,1709.9,"Thorofare Mountain, AK, USA"
AK,U33K,56.1146,-133.121,11.0,"Whale Pass, AK, USA"
AK,UAFE,64.8553,-147.8181,184.0,"UAF Engineering Building Array, AK, USA"
AK,UCM,63.9107,-148.8886,461.8,"Usibelli Coal Mine, AK, USA"
AK,UNV,53.8452,-166.5045,65.0,"Unalaska Valley, AK, USA"
AK,V35K,55.3279,-131.615,64.0,"Ketchikan, AK, USA"
AK,VMT,61.083,-146.368,97.0,"Valdez Marine Terminal, AK, USA"
AK,VRDI,61.2275,-143.4545,1909.4,"Verde Repeater, AK, USA"
AK,WAT1,62.8295,-148.5509,722.0,"Susitna Watana 1, AK, USA"
AK,WAT2,62.9628,-148.5855,1366.0,"Susitna Watana 2, AK, USA"
AK,WAT3,62.6812,-148.5377,1499.9,"Susitna Watana 3, AK, USA"
